,Titles,Ratings,Cast,Genre
14,Nowhere,75.33,"Ben Foster,Billy Magnussen,Vicky Krieps,Peter Sarsgaard,Saro Emirze,Danny DeVito,John Leguizamo,Dar Zuzovsky,Laurent Papot","History,Action,Drama"
15,Talk to Me,72.02,"Jason Statham,Wu Jing,Shuya Sophia Cai,Page Kennedy,Sergio Peris-Mencheta,Sienna Guillory,Cliff Curtis,Skyler Samuels,Melissanthi Mahut","Action,Science Fiction,Horror"
16,1962 Halloween Massacre,30.0,"Xolo Mariduena,Bruna Marquezine,Susan Sarandon,Raoul Max Trujillo,Belissa Escobedo,Damián Alcázar,Elpidia Carrillo,George Lopez,Adriana Barraza","Action,Science Fiction,Adventure"
17,Mavka: The Forest Song,72.83,"Brie Larson,Teyonah Parris,Iman Vellani,Zawe Ashton,Samuel L. Jackson,Gary Lewis,Park Seo-jun,Zenobia Shroff,Mohan Kapur","Science Fiction,Adventure,Action"
18,My Fault,80.94,"Masako Nozawa,Hiromi Tsuru,Mayumi Tanaka,Kōhei Miyauchi,Hirotaka Suzuoki,Hiroko Emori,Toru Furuya,Mitsuko Horie,Banjo Ginga","Action,Animation"
19,Rally Road Racers,74.21000000000001,"Chris Pratt,Anya Taylor-Joy,Charlie Day,Jack Black,Keegan-Michael Key,Seth Rogen,Fred Armisen,Sebastian Maniscalco,Charles Martinet","Animation,Family,Adventure,Fantasy,Comedy"
0,After Everything,70.28999999999999,"Anna Kendrick,Justin Timberlake,Camila Cabello,Eric André,Amy Schumer,Andrew Rannells,Daveed Diggs,Troye Sivan,Kid Cudi","Animation,Family,Music,Fantasy,Comedy"
1,The Mongolian Connection,65.0,"Cillian Murphy,Emily Blunt,Matt Damon,Robert Downey Jr.,Florence Pugh,Josh Hartnett,Casey Affleck,Rami Malek,Kenneth Branagh","Drama,History"
2,Indiana Jones and the Dial of Destiny,66.76,"John David Washington,Madeleine Yuna Voyles,Gemma Chan,Allison Janney,Ken Watanabe,Sturgill Simpson,Amar Chadha-Patel,Marc Menchaca,Robbie Tann","Science Fiction,Action,Thriller"
3,The Jester,45.0,"Adam Sandler,Bill Burr,Cecily Strong,Jason Alexander,Rob Schneider,Allison Strong,Jo Koy,Sadie Sandler,Sunny Sandler","Animation,Comedy,Family"
